短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
73,10.7,23.3,1003,0.5591929034707469,0.8290375725550417,11.34,5.72,10
73,10.5,23.2,1003,0.5299192642332049,0.848048096156426,11.88,5.81,11
73,10.5,23.1,1003,0.5446390350150271,0.838670567945424,12.13,5.91,12
73,10.8,23.0,1003,0.6018150231520483,0.7986355100472928,16.52,6.74,13
73,11.1,22.9,1003,0.6427876096865393,0.766044443118978,17.3,6.5,14
74,11.3,22.8,1004,0.6560590289905072,0.754709580222772,17.21,6.82,15
74,11.4,22.7,1004,0.6691306063588582,0.7431448254773942,17.38,6.76,16
75,11.6,22.6,1005,0.6691306063588582,0.7431448254773942,17.48,6.55,17
74,11.8,22.7,1006,0.6819983600624985,0.7313537016191706,17.55,6.94,18
73,12.1,22.9,1006,0.7071067811865476,0.7071067811865476,13.36,6.05,19
71,12.2,23.2,1006,0.7313537016191705,0.6819983600624985,11.91,5.95,20
69,12.3,23.7,1005,0.754709580222772,0.6560590289905073,13.71,5.94,21
67,12.2,24.1,1004,0.7771459614569708,0.6293203910498375,17.19,6.64,22
69,12.4,24.2,1003,0.7986355100472928,0.6018150231520484,18.03,6.74,23
72,12.9,24.0,1003,0.8191520442889918,0.573576436351046,16.41,6.19,0
74,13.7,23.6,1003,0.8290375725550417,0.5591929034707468,9.28,5.27,1
75,14.6,23.3,1004,0.8290375725550417,0.5591929034707468,9.71,5.4,2
76,15.4,23.2,1005,0.8191520442889918,0.573576436351046,7.26,5.08,3
74,15.9,23.2,1005,0.7986355100472928,0.6018150231520484,7.8,5.01,4
72,15.8,23.2,1006,0.766044443118978,0.6427876096865394,7.75,5.1,5
69,15.0,23.0,1006,0.7313537016191705,0.6819983600624985,6.74,4.96,6
66,14.2,22.8,1006,0.6819983600624985,0.7313537016191706,6.79,5.1,7
65,13.3,22.5,1006,0.6293203910498374,0.7771459614569709,4.66,4.42,8
